,type,content_cleaned
0,article,expert warn state reopening still nt enough testing u state start loosen stay home order expert warn covid19 could come back enough testing according associated press significant number state reopening still meeting key testing benchmark suggested harvard global health institute according institute world health organization enough testing done
1,article,new study find increase screen time nt hurt kid social skill getty image new study found despite time spent smartphones today young people socially skilled previous generation researcher compared teacher parent evaluation kid entered kindergarten 1998 year facebook child 2010 even child within group experienced heaviest exposure screen showed similar developme
2,article,scientist around world working number vaccine treatment covid19 xinhua zhang yuwei via getty image scientist around world working potential treatment vaccine new coronavirus disease known covid19 several company working antiviral drug already use illness treat people already covid19 company working vaccine could used preventive measure aga
3,article,coronaviruses cause respiratory illness lung usually affected first early include fever cough shortness breath appear soon 2 day long 14 day exposure virus damage also occur part body especially serious illness data statistic based publicly available data time publication information may date visit coronavirus hub follow live update pag
4,article,medical expert studying remdesivir help people covid19 leaked report preliminary clinical trial result suggests experimental drug may work covid19 expert caution reading much leaked report anecdotal meaning ca nt used show whether drug safe effective data statistic based publicly available data time publication information may date visit coronavi
5,article,social medium post may say stress anxiety level think getty image mental health teenager impacted pandemic increase addiction substance use related content social medium may indicate public self medicating tweet show negative indicator trend mental health state harshly impacted covid19 data statistic based publicly available data time publicati
6,article,expert say rural area older population le healthy fewer medical facility urban suburban region jeremy hogan echo wire barcroft medium via getty image covid19 pandemic already swept city urban center illness appears building like infectious prairie fire rural america well larger town midwest nt case month ago many rural community nt seeing anything sim
7,article,early study indicated antimalarial drug might effective treating covid19 expert say research needed people nt use label medication kay nietfeld picture alliance via getty image data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page recent information covid19 outbreak study publ
8,article,expert say study shown ultraviolet radiation kill microorganism sanctioned covid19 therapy exposure dangerous health getty image research done ultraviolet radiation way kill microorganism sanctioned covid19 therapy research done shown exposure dangerous people health new research show medical misinformation spread public
9,article,people hospitalized covid19 full recovery may take week month getty image 116000 recovered case covid19 united state nearly double number death according john hopkins coronavirus resource center even people officially recovered feeling 100 percent back normal may long process pulmonary rehabilitation part recovery process since covid19 illness often
10,article,researcher say many home method checking see chicken safe eat nt effective particular note color meat inside chicken nt good indicator expert say food thermometer best safety method check see chicken cooked least 165f 74c half home cook may misjudging chicken safe eat according norwegian institute food fishery aquaculture research study re
11,article,expert say biology well behavior may among reason men woman developing covid19 dying disease getty image several study shown men dying covid19 woman expert say part reason woman tend stronger immune system men add men also tend engage risky behavior ignoring physical distancing nt take symptom seriously data statistic based p
12,article,researcher hoping antibody test help understand immune covid19 getty image infection cleared antibody continue exist blood person exposed virus antibody would rush site viral exposure use memory blunt virus causing harm person show antibody new coronavirus nt necessarily mean immune reinfection data statistic
