,type,content_cleaned,label
1,article,speaker robin vos r rochester senate majority leader scott fitzgerald r juneau released following statement filing original action wisconsin state supreme court challenging governor extension safer home order may 26th public outcry safer home order continues increase positive covid case decrease remain flat immense frustration regarding extension go beyond executive branch statutory power,1
14,article,page looking,1
15,article,contrary narrative pushed mainstream covid 19 virus result natural mutation transmitted human bat via pangolin dr luc montagnier man discovered hiv virus back 1983 disagrees saying virus man made follow luc montagnier insists virus came lab follow interview read also line remdesivir chloroquine azithromycin might also shorten hospital stay,1
24,article,programming alert exclusive documentary origin ccp virus premiere first documentary movie origin ccp virus tracking origin wuhan coronavirus premiere tonight several youtube facebook channel ccp virus originated china rampaged world caused 80000 death infecting least 14 million true number death infection unknown due underreporting case mainland chin,1
30,article,buffalo ny wivbmayor byron brown handing mask kenfield langfield development saturdaythe mayor say city enough mask make sure anyone living buffalo municipal housing authority protected added warmer weather way people headed outside keeping face covered important,1
34,article,gateway pundit crazed democrat michigan governor gretchen whitmer prohibited big box retailer person sale seed according food non essential crisis garden victory garden always encouraged time war time crisis supplement ration boost morale tyrannical governor michigan barred grocery store brick mortar retailer selling vegetable seed late march michigan democrat governor gretchen whitm,1
35,article,monday morning president donald trump tweeted purpose creating conflict confusion fake news medium saying governor decision open state president united state federal government let fully understood incorrect continued decision president many good reason said administration working closely governor th,1
37,article,donald trump 1123 thank much everyone begin like offer condolence best wish people across great south endured deadly tornado severe weather texas louisiana mississippi alabama florida georgia tennessee south carolina donald trump 1142 administration everything possible help community get back foot speaking governor representative fema alr,1
43,article,crazed democrat michigan governor gretchen whitmer prohibited big box retailer person sale seed according food non essential crisis garden victory garden always encouraged time war time crisis supplement ration boost morale tyrannical governor michigan barred grocery store brick mortar retailer selling vegetable seed late march michigan democrat governor gretchen whitmer limited access,1
48,article,america getting real glimpse life left wing democrat rule frightening left wing nut banned hydroxychloroquine despite unquestionable efficacy treating coronavirus related trump deranged michigan gov whitmer revers ban hydroxychloroquine chloroquin begging michigan democratic governor gretchen whitmers latest executive order deems number home improvement gardening item including fruit vegetable seed non e,1
52,article,washington dc pentagon issued indefinite hold order military air wing airline immediately stop spraying chemtrails determined covid19 virus found way chemtrail fluid supply according unofficial pentagon source speaking condition anonymity entire chemtrail program hold figure coughed onto batch chemical manufactured one supplier factory news,1
60,article,bill gate microsoft founder currently worth approximately 102 billion dollar spending fortune eugenics sterilization around world gate vaccine seem solution greatest problem view existspeople see video gate lauds vaccine way limit human population notice claiming earth must see zero co2 impact humanity limiting service zero gate claim part,1
62,article,government statistic covid19 death trusted open question learning highly respected world class center disease control prevention cdc lying u revelation come day wrote american thinker new york city lying covid19 death normal rule reporting death violated city rush inflate body count presumably steer taxpayer money,1
63,article,updated keeping facebook effort report fake news updated article include doctor full statement world health organization vehemently disagrees dr juergen rissland lead doctor institute virology saarland university hospital germany went record say drinking whiskey protect covid19 definitely one report get behind appearing morning show dr rissland asked,1
65,article,account investigation found violation medium rule thousand story read medium visit homepage find one right,1
66,article,youtube channel named anggies fam posted video uploaded april 6 telling story seven child died coronavirus vaccination senegal africa video woman stated today somebody called husband nurse nurse told husband seven infant died senegal due coronavirus vaccine nt know must collect thing know tested want use people guinea pig lab,1
67,article,one know democrat hate senior citizen much everything screw nation retiree trying screw social security screw medicare want screw stimulus check nancy pelosi colleague endlessly stalling stimulus bill filled much pork left people 1200 addition would entitled,1
75,article,natural news 5 g partially blame coronavirus death 5 g cause blood circulating body unable carry oxygen especially horrifying critical care coronavirus patient nt suffering viral pneumonia rather inability absorb carry oxygen blood confirmed nyc icu emergency physician cameron kyle sidell released several video detailing coronavirus kind,1
99,article,national basketball association recently suspended season time reason given seemed justified given emergence covid19 several player league tested positive however confirmed anonymous source league shutdown making month simply looking good excuse shut player led washington general star power forward art tubolls held secret vote prior,1
101,article,new data intercepted united state reveals 21 million people died china december 2019 march 2020 u intelligence official conclude classified report trump administration intelligence report stated least 209 million death linked coronavirus according u intercepted data show china underreported coronavirus infection death validated second time tallied data released,1
103,article,ron johnson american go back work death unavoidable part life,1
107,article,big pharma fauci bill gate want ban hydroxychloroquine democratic michigan state lawmaker credited president trump publicizing anti malarial drug hydroxychloroquine saving life health plummeted contracted coronavirus state rep karen whitsett detroit told ingraham angle monday nt trump pushing drug food drug administration approval process label use touting repeatedl,1
109,article,leeann jemmott wiki leeann jemmott bio leeann jemmott best known partner fred godson died april 22 2020,1
112,article,rush transcript five march 31 2020 copy may final form may updated dana perino fox news anchor hello everyone dana perino along greg gutfeld juan williams jesse watters dagen mcdowell 500 new york city five right happy tuesday president coronavirus task force set hold another briefing pandemic america get deadlier minute take white,1
134,article,president thank much everybody thank america continues wage war defeat virus horrible horrible virus see terrible especially look number yesterday explained extending nationwide guideline slow spread 30 day together power save countless life attacking virus every front social distancing economic support worker rapid medical int,1
138,article,register agree term use privacy policy,1
155,article,mask short supply many people forced use mask mean idea microwaving mask gone crazy sounding idea critically practical question another reason question critical smart air test found washing n95 mask soap water cut particle capture effectiveness 21 test found even dipping alcohol rubbing involved harmed performance get bottom smart air dumb enough test,1
158,article,president thank much appreciate everybody beautiful day rose garden tremendous distance chair social distancing practice well appreciate great want start today highlighting several critical development testing treatment help u win war coronavirus friday fda authorized new test developed abbott lab delivers lightning fast result little five,1
160,article,earlier today rumoured queen elizabeth ii tested positive novel coronavirus many uk medium outlet kept silent new press release buckingham palace confirmed queen united kingdom indeed tested positive 93year old could come contact british prime minister boris johnson tested positive yesterday royal palace said statement hmq also tested positive currently self isolating wi,1
169,article,correction article updated reflect new fact claim weed ginger cure coronavirus made president rastafarian association ghana debunked independent fact checker science feedback health feedback found claim false unsupported available fact evidence supporting claim marijuana ginger beneficial effect covid19 treatment cure world health organization stated,1
170,article,u become new global epicenter coronavirus pandemic case country surpass italy china number climb state local official worry amount life saving equipment ventilator access worst pandemic u surgeon general vadm dr jerome adam join cbs morning address public fear claiming projection reflect severe lack ventilator based worst case scenario,1
171,article,chinese health authority confirmed identity patient zero first case coronavirus originated yin dao tang 24 province hubei first case novel coronavirus emerged november 17 according chinese government data tang believed contracted disease indulging sexual act several animal including bat chinese official warned temporarily abstain sexual contact anim,1
172,article,following medical forum writer widely respected professional scientist u prefers stay anonymous presenting narrative different official one cause lot stress toxic environment caused scam surround covid19 day julian rose work healthcare field here problem testing people strain coronavirus specifically covid19 reliable test,1
174,article,governor andrew cuomo considering temporary six week ban sale combustible cigarette order reduce state coronavirus death count source familiar thinking tell chronicle ban could come soon monday expected included budget measure already scheduled announced new data italy suggest nation whopping coronavirus death rate approaching 10 test positive highly correlated cigarett,1
176,article,rush transcript copy may final form may updated 200015 anderson cooper cnn host good evening anderson cooper welcome special cnn coronavirus town hall democratic presidential candidate former vice president joe biden obviously typical town hall format obvious reason audience small remote studio new york camera robotically controlled vice president,1
177,article,united kingdom queen elizabeth ii tested positive novel coronavirus buckingham palace confirmed shocking release minute prime minister boris johnson revealed tested positive coronavirus news queen testing positive covid19 come surprise since possibility could exposed virus one weekly meeting prime minister boris johnson tested positive hour ago buckingham palace r,1
185,article,bernie coronavirus casualty may even higher armed force experienced ww ii vermont senator bernie sander weighed ongoing coronavirus outbreak across united state week telling reporter casualty could higher armed force experienced second world war term potential deathsthe crisis face scale major warwe also face truth number casualty may actually e,1
192,article,look like nothing found location maybe try search,1
213,article,thumb scientist united state america finally found vaccine cure corona virus president united state america officially make announcement vaccine cure virus sunday roche medical company launch vaccine sunday virus trump called chinese virus finally thing past american showed world power vaccine said injection,1
218,article,medical community strongly advises population get flu shot help combat epidemic coronavirus honestly never made sense two different type virus flu shot work virus concerningly latest research show getting flu vaccine increase risk getting coronavirus 36 influenza vaccination respiratory virus interference among department defense personnel 2017 2018 influen,1
221,article,officer protective gear enter cruise ship diamond princess 10 people tested positive coronavirus thursday transfer patient hospital ship arrived daikoku pier cruise terminal yokohama south tokyo japan february 7 2020 coronavirus rna found surface aboard diamond princess cruise ship 17 day passenger disembarked lasting far longer surface previous research shown according new data publi,1
231,article,update updated post added clarification life come fast saying go case may era viral pandemic death come fast sadly latter citizen new york pay price gov andrew cuomos 2015 decision fix shortfall buy 16000 ventilator shore state stockpile case pandemic cuomo spent money cost ventilator solar panel boondogg,1
232,article,prolific acting legend tom hank passed away suddenly morning cause death released hank enjoyed long successful career well liked hollywood community movie always well received public even really crappy one like castaway body work live decade come past several year hank vocal opposition president trump often called president,1
259,article,page looking exist website may accidentally mistype page address followed expired link anyway help get back track try search page looking,1
262,article,belgium health minister maggie de block put ban non essential sexual activity person 3 greater indoor area health minister de block announced today effective immediately non essential sexual activity 3 people banned belgium combat spread covid19 de block said forced act swiftly belgium reputation beer drinking group sex capital europe health minister de block ban single,1
264,article,click access online public inspection file viewer disability get assistance accessing station fcc public inspection file contacting station information listed question concern relating accessibility fcc online public file system directed fcc 888 225 5322 888 835 5322 tty fccinfofccgov,1
265,article,hannity laura whole gang fox news maga surprise announced winning one coveted award journalism pulitzer oh liberal medium going kicking dirt one accolade specific fair balanced coverage crisis network ball entire ordeal making sure public educated danger current crisis joe barron chairman,1
272,article,controversial ethiopian politician director general world health organization claimed press conference early march fatality rate coronavirus many multiple fatality rate common flu egregiously false premise led greatest panic world history director general spoke march 3 2020 shared related coronavirus many people globally built immunity seasonal flu,1
275,article,walmart closing 269 store including 154 location united state company said today closing store never easy decision necessary keep company strong positioned future said doug mcmillon president ceo wal mart store decision made analysis store financial performance alignment company long term goal walmart said news release share walmart fallen nearly 3,1
280,article,reach pocket purse pull put wallet carry go patriotically shopping nearest american small business gun store thirty billion dollar last name nt obama nt private safe island family friend wait crisis unwashed mass suffer two day ago washing hand going theater see whatever terr,1
291,article,president great meeting tremendous unity republican party working lot different thing also good update virus working smoothly tremendous people tremendous task force done great job good job great job know 600 case 26 death within country acted quickly number would substantially ju,1
292,article,march 17 2020 american thinker decade leftist blamed actual potentially harmful event global warming justify political initiative socialism open border abortion reasonable response climate change since chinese virus appeared scene however world leftist fallen silent global warming silence may become permanent seems coronavirus hate heat people speculated,1
293,article,controversial ethiopian politician director general world health organization claimed press conference early march fatality rate coronavirus many multiple fatality rate common flu egregiously false premise led greatest panic world history director general spoke march 3 2020 shared related coronavirus many people globally built immunity seasonal flu,1
299,article,controversial ethiopian politician director general world health organization claimed press conference early march fatality rate coronavirus many multiple fatality rate common flu egregiously false premise led greatest panic world history director general spoke march 3 2020 shared related coronavirus many people globally built immunity seasonal flu,1
313,article,president trump along member white house coronavirus task force held press briefing latest response effort president said testing available 50 state also discussed conversation executive different industry sector government would work sector lauded good working relationship republican democratic lawmaker well nation governor treasury secretary steve mnuchin outlined various,1
322,article,result best guidance cdc,1
